"Type","Team","Group","Position","Name","DOB","Caps","Goals","Country and Club"
"Age","Egypt","A","DF","Ahmed Elmohamady","1987-09-09","76","2","England Aston Villa"
"Age","Egypt","A","DF","Ahmed Fathy","1984-11-10","124","3","Egypt Al Ahly"
"Age","Egypt","A","DF","Ahmed Hegazi","1991-01-25","43","1","England West Bromwich Albion"
"Age","Egypt","A","DF","Ali Gabr","1993-07-28","20","1","England West Bromwich Albion"
"Age","Egypt","A","DF","Ayman Ashraf","1991-04-09","4","0","Egypt Al Ahly"
"Age","Egypt","A","DF","Mahmoud Hamdy","1995-06-01","0","0","Egypt Zamalek"
"Age","Egypt","A","DF","Mohamed Abdel-Shafy","1985-07-01","49","1","Saudi Arabia Al Fateh"
"Age","Egypt","A","DF","Omar Gaber","1992-01-30","23","0","United States Los Angeles FC"
"Age","Egypt","A","DF","Saad Samir","1989-04-01","10","0","Egypt Al Ahly"
"Age","Egypt","A","FW","Marwan Mohsen","1989-02-26","22","4","Egypt Al Ahly"
"Age","Egypt","A","FW","Mohamed Salah","1992-06-15","57","33","England Liverpool"
"Age","Egypt","A","GK","Essam El-Hadary (captain)","1973-01-15","156","0","Saudi Arabia Al Taawoun"
"Age","Egypt","A","GK","Mohamed El-Shenawy","1988-12-18","1","0","Egypt Al Ahly"
"Age","Egypt","A","GK","Sherif Ekramy","1983-07-01","22","0","Egypt Al Ahly"
"Age","Egypt","A","MF","Abdallah Said","1985-07-13","34","6","Finland KuPS"
"Age","Egypt","A","MF","Amr Warda","1993-09-13","14","0","Greece Atromitos"
"Age","Egypt","A","MF","Kahraba","1994-04-13","17","3","Saudi Arabia Al Ittihad"
"Age","Egypt","A","MF","Mohamed Elneny","1992-07-11","60","5","England Arsenal"
"Age","Egypt","A","MF","Ramadan Sobhi","1997-01-23","21","1","England Stoke City"
"Age","Egypt","A","MF","Sam Morsy","1991-09-10","3","0","England Wigan Athletic"
"Age","Egypt","A","MF","Shikabala","1986-03-05","28","2","Saudi Arabia Al Raed"
"Age","Egypt","A","MF","Tarek Hamed","1988-10-24","19","0","Egypt Zamalek"
"Age","Egypt","A","MF","Trézéguet","1994-10-01","23","2","Turkey Kasımpaşa"
"Age","Russia","A","DF","Andrei Semyonov","1989-03-24","6","0","Russia Akhmat Grozny"
"Age","Russia","A","DF","Fyodor Kudryashov","1987-04-05","17","0","Russia Rubin Kazan"
"Age","Russia","A","DF","Igor Smolnikov","1988-08-08","25","0","Russia Zenit Saint Petersburg"
"Age","Russia","A","DF","Ilya Kutepov","1993-07-29","6","0","Russia Spartak Moscow"
"Age","Russia","A","DF","Mário Fernandes","1990-09-19","3","0","Russia CSKA Moscow"
"Age","Russia","A","DF","Sergei Ignashevich","1979-07-14","120","8","Russia CSKA Moscow"
"Age","Russia","A","DF","Vladimir Granat","1987-05-22","11","1","Russia Rubin Kazan"
"Age","Russia","A","FW","Aleksei Miranchuk","1995-10-17","16","4","Russia Lokomotiv Moscow"
"Age","Russia","A","FW","Artem Dzyuba","1988-08-22","22","11","Russia Arsenal Tula"
"Age","Russia","A","FW","Fyodor Smolov","1990-02-05","30","12","Russia Krasnodar"
"Age","Russia","A","GK","Andrey Lunyov","1991-11-13","3","0","Russia Zenit Saint Petersburg"
"Age","Russia","A","GK","Igor Akinfeev (captain)","1986-04-08","104","0","Russia CSKA Moscow"
"Age","Russia","A","GK","Vladimir Gabulov","1983-10-19","10","0","Belgium Club Brugge"
"Age","Russia","A","MF","Alan Dzagoev","1990-06-17","55","9","Russia CSKA Moscow"
"Age","Russia","A","MF","Aleksandr Golovin","1996-05-30","17","2","Russia CSKA Moscow"
"Age","Russia","A","MF","Aleksandr Samedov","1984-07-19","46","6","Russia Spartak Moscow"
"Age","Russia","A","MF","Aleksandr Yerokhin","1989-10-13","17","0","Russia Zenit Saint Petersburg"
"Age","Russia","A","MF","Anton Miranchuk","1995-10-17","4","0","Russia Lokomotiv Moscow"
"Age","Russia","A","MF","Daler Kuzyayev","1993-01-15","4","0","Russia Zenit Saint Petersburg"
"Age","Russia","A","MF","Denis Cheryshev","1990-12-26","10","0","Spain Villarreal"
"Age","Russia","A","MF","Roman Zobnin","1994-02-11","10","0","Russia Spartak Moscow"
"Age","Russia","A","MF","Yuri Zhirkov","1983-08-20","82","2","Russia Zenit Saint Petersburg"
"Age","Russia","A","MF","Yury Gazinsky","1989-07-20","5","0","Russia Krasnodar"
"Age","Saudi Arabia","A","DF","Ali Al Bulaihi","1989-11-21","1","0","Saudi Arabia Al-Hilal"
"Age","Saudi Arabia","A","DF","Mansoor Al-Harbi","1987-10-19","37","1","Saudi Arabia Al-Ahli"
"Age","Saudi Arabia","A","DF","Mohammed Al-Breik","1992-09-15","9","1","Saudi Arabia Al-Hilal"
"Age","Saudi Arabia","A","DF","Motaz Hawsawi","1992-02-17","15","0","Saudi Arabia Al-Ahli"
"Age","Saudi Arabia","A","DF","Omar Hawsawi","1985-09-27","40","3","Saudi Arabia Al-Nassr"
"Age","Saudi Arabia","A","DF","Osama Hawsawi (captain)","1984-03-31","133","7","Saudi Arabia Al-Hilal"
"Age","Saudi Arabia","A","DF","Yasser Al-Shahrani","1992-05-25","34","0","Saudi Arabia Al-Hilal"
"Age","Saudi Arabia","A","FW","Fahad Al-Muwallad","1994-09-14","42","10","Spain Levante"
"Age","Saudi Arabia","A","FW","Mohammad Al-Sahlawi","1987-01-10","38","28","Saudi Arabia Al-Nassr"
"Age","Saudi Arabia","A","FW","Muhannad Assiri","1986-10-14","17","4","Saudi Arabia Al-Ahli"
"Age","Saudi Arabia","A","GK","Abdullah Al-Mayouf","1987-01-23","9","0","Saudi Arabia Al-Hilal"
"Age","Saudi Arabia","A","GK","Mohammed Al-Owais","1991-10-10","5","0","Saudi Arabia Al-Ahli"
"Age","Saudi Arabia","A","GK","Yasser Al Mosailem","1984-02-27","32","0","Saudi Arabia Al-Ahli"
"Age","Saudi Arabia","A","MF","Abdullah Al-Khaibari","1996-08-16","3","0","Saudi Arabia Al-Shabab"
"Age","Saudi Arabia","A","MF","Abdullah Otayf","1992-08-03","14","1","Saudi Arabia Al-Hilal"
"Age","Saudi Arabia","A","MF","Abdulmalek Al-Khaibri","1986-03-13","35","0","Saudi Arabia Al-Hilal"
"Age","Saudi Arabia","A","MF","Hattan Bahebri","1992-07-16","3","0","Saudi Arabia Al-Shabab"
"Age","Saudi Arabia","A","MF","Housain Al-Mogahwi","1988-01-28","15","1","Saudi Arabia Al-Ahli"
"Age","Saudi Arabia","A","MF","Mohamed Kanno","1994-09-22","5","1","Saudi Arabia Al-Hilal"
"Age","Saudi Arabia","A","MF","Salem Al-Dawsari","1991-08-19","30","4","Spain Villarreal"
"Age","Saudi Arabia","A","MF","Salman Al-Faraj","1989-08-01","40","3","Saudi Arabia Al-Hilal"
"Age","Saudi Arabia","A","MF","Taisir Al-Jassim","1984-07-25","129","18","Saudi Arabia Al-Ahli"
"Age","Saudi Arabia","A","MF","Yahya Al-Shehri","1990-06-26","55","7","Spain Leganés"
"Age","Uruguay","A","DF","Diego Godín (captain)","1986-02-16","115","8","Spain Atlético Madrid"
"Age","Uruguay","A","DF","Gastón Silva","1994-03-05","17","0","Argentina Independiente"
"Age","Uruguay","A","DF","Guillermo Varela","1993-03-24","3","0","Uruguay Peñarol"
"Age","Uruguay","A","DF","José Giménez","1995-01-20","41","4","Spain Atlético Madrid"
"Age","Uruguay","A","DF","Martín Cáceres","1987-04-07","75","4","Italy Lazio"
"Age","Uruguay","A","DF","Maxi Pereira","1984-06-08","124","3","Portugal Porto"
"Age","Uruguay","A","DF","Sebastián Coates","1990-10-07","30","1","Portugal Sporting CP"
"Age","Uruguay","A","FW","Cristhian Stuani","1986-12-10","40","5","Spain Girona"
"Age","Uruguay","A","FW","Edinson Cavani","1987-02-14","100","42","France Paris Saint-Germain"
"Age","Uruguay","A","FW","Luis Suárez","1987-01-24","97","50","Spain Barcelona"
"Age","Uruguay","A","FW","Maxi Gómez","1996-08-14","4","0","Spain Celta Vigo"
"Age","Uruguay","A","GK","Fernando Muslera","1986-06-16","96","0","Turkey Galatasaray"
"Age","Uruguay","A","GK","Martín Campaña","1989-05-29","1","0","Argentina Independiente"
"Age","Uruguay","A","GK","Martín Silva","1983-03-23","11","0","Brazil Vasco da Gama"
"Age","Uruguay","A","MF","Carlos Sánchez","1984-12-02","35","1","Mexico Monterrey"
"Age","Uruguay","A","MF","Cristian Rodríguez","1985-09-30","104","11","Uruguay Peñarol"
"Age","Uruguay","A","MF","Diego Laxalt","1993-02-07","5","0","Italy Genoa"
"Age","Uruguay","A","MF","Giorgian De Arrascaeta","1994-05-01","13","1","Brazil Cruzeiro"
"Age","Uruguay","A","MF","Jonathan Urretaviscaya","1990-03-19","4","0","Mexico Monterrey"
"Age","Uruguay","A","MF","Lucas Torreira","1996-02-11","2","0","Italy Sampdoria"
"Age","Uruguay","A","MF","Matías Vecino","1991-08-24","21","1","Italy Internazionale"
"Age","Uruguay","A","MF","Nahitan Nández","1995-12-28","11","0","Argentina Boca Juniors"
"Age","Uruguay","A","MF","Rodrigo Bentancur","1997-06-05","6","0","Italy Juventus"
"Age","Iran","B","DF","Majid Hosseini","1996-06-20","0","0","Iran Esteghlal"
"Age","Iran","B","DF","Milad Mohammadi","1993-09-29","16","0","Russia Akhmat Grozny"
"Age","Iran","B","DF","Mohammad Reza Khanzadeh","1991-05-11","10","1","Iran Padideh"
"Age","Iran","B","DF","Morteza Pouraliganji","1992-04-19","25","2","Qatar Al-Sadd"
"Age","Iran","B","DF","Pejman Montazeri","1983-09-06","45","1","Iran Esteghlal"
"Age","Iran","B","DF","Ramin Rezaeian","1990-03-21","26","2","Belgium Oostende"
"Age","Iran","B","DF","Rouzbeh Cheshmi","1993-07-24","7","0","Iran Esteghlal"
"Age","Iran","B","FW","Alireza Jahanbakhsh","1993-08-11","36","4","Netherlands AZ"
"Age","Iran","B","FW","Karim Ansarifard","1990-04-03","61","16","Greece Olympiacos"
"Age","Iran","B","FW","Mehdi Taremi","1992-07-18","23","11","Qatar Al-Gharafa"
"Age","Iran","B","FW","Reza Ghoochannejhad","1987-09-20","40","17","Netherlands Heerenveen"
"Age","Iran","B","FW","Sardar Azmoun","1995-01-01","31","23","Russia Rubin Kazan"
"Age","Iran","B","GK","Alireza Beiranvand","1992-09-21","20","0","Iran Persepolis"
"Age","Iran","B","GK","Amir Abedzadeh","1993-04-26","0","0","Portugal Marítimo"
"Age","Iran","B","GK","Mohammad Rashid Mazaheri","1989-05-18","3","0","Iran Zob Ahan Esfahan"
"Age","Iran","B","MF","Ashkan Dejagah","1986-06-05","44","8","England Nottingham Forest"
"Age","Iran","B","MF","Ehsan Hajsafi","1990-02-25","91","6","Greece Olympiacos"
"Age","Iran","B","MF","Masoud Shojaei (captain)","1984-06-09","72","8","Greece AEK Athens"
"Age","Iran","B","MF","Mehdi Torabi","1994-09-10","14","4","Iran Saipa"
"Age","Iran","B","MF","Omid Ebrahimi","1987-09-16","28","0","Iran Esteghlal"
"Age","Iran","B","MF","Saeid Ezatolahi","1996-10-01","24","1","Russia Amkar Perm"
"Age","Iran","B","MF","Saman Ghoddos","1993-09-06","6","1","Sweden Östersund"
"Age","Iran","B","MF","Vahid Amiri","1988-04-02","33","1","Iran Persepolis"
"Age","Morocco","B","DF","Achraf Hakimi","1998-11-04","7","1","Spain Real Madrid"
"Age","Morocco","B","DF","Hamza Mendyl","1997-10-21","11","0","France Lille"
"Age","Morocco","B","DF","Manuel da Costa","1986-05-06","25","1","Turkey İstanbul Başakşehir"
"Age","Morocco","B","DF","Medhi Benatia (captain)","1987-04-17","54","2","Italy Juventus"
"Age","Morocco","B","DF","Nabil Dirar","1986-02-25","34","3","Turkey Fenerbahçe"
"Age","Morocco","B","DF","Romain Saïss","1990-03-26","21","1","England Wolverhampton Wanderers"
"Age","Morocco","B","FW","Ayoub El Kaabi","1993-06-26","8","10","Morocco RS Berkane"
"Age","Morocco","B","FW","Aziz Bouhaddouz","1987-01-29","13","3","Germany FC St. Pauli"
"Age","Morocco","B","FW","Khalid Boutaïb","1987-04-24","15","7","Turkey Yeni Malatyaspor"
"Age","Morocco","B","FW","Youssef En-Nesyri","1997-06-01","15","1","Spain Málaga"
"Age","Morocco","B","GK","Ahmed Reda Tagnaouti","1996-04-05","2","0","Morocco IR Tanger"
"Age","Morocco","B","GK","Munir Mohamedi","1989-05-10","25","0","Spain Numancia"
"Age","Morocco","B","GK","Yassine Bounou","1991-04-05","10","0","Spain Girona"
"Age","Morocco","B","MF","Amine Harit","1997-06-18","3","0","Germany Schalke 04"
"Age","Morocco","B","MF","Fayçal Fajr","1988-08-01","21","2","Spain Getafe"
"Age","Morocco","B","MF","Hakim Ziyech","1993-03-19","15","8","Netherlands Ajax"
"Age","Morocco","B","MF","Karim El Ahmadi","1985-01-27","48","1","Netherlands Feyenoord"
"Age","Morocco","B","MF","Mbark Boussoufa","1984-08-15","56","7","United Arab Emirates Al-Jazira"
"Age","Morocco","B","MF","Mehdi Carcela","1989-07-01","19","1","Belgium Standard Liège"
"Age","Morocco","B","MF","Nordin Amrabat","1987-03-31","41","4","Spain Leganés"
"Age","Morocco","B","MF","Sofyan Amrabat","1996-08-21","4","0","Netherlands Feyenoord"
"Age","Morocco","B","MF","Younès Belhanda","1990-02-25","44","3","Turkey Galatasaray"
"Age","Morocco","B","MF","Youssef Aït Bennasser","1996-07-07","11","0","France Caen"
"Age","Portugal","B","DF","Bruno Alves","1981-11-27","95","11","Scotland Rangers"
"Age","Portugal","B","DF","Cédric","1991-08-31","26","1","England Southampton"
"Age","Portugal","B","DF","José Fonte","1983-12-22","28","0","China Dalian Yifang"
"Age","Portugal","B","DF","Mário Rui","1991-05-27","1","0","Italy Napoli"
"Age","Portugal","B","DF","Pepe","1983-02-26","92","5","Turkey Beşiktaş"
"Age","Portugal","B","DF","Raphaël Guerreiro","1993-12-22","21","2","Germany Borussia Dortmund"
"Age","Portugal","B","DF","Ricardo Pereira","1993-10-06","3","0","Portugal Porto"
"Age","Portugal","B","DF","Rúben Dias","1997-05-14","0","0","Portugal Benfica"
"Age","Portugal","B","FW","André Silva","1995-11-06","20","11","Italy Milan"
"Age","Portugal","B","FW","Cristiano Ronaldo (captain)","1985-02-05","149","81","Spain Real Madrid"
"Age","Portugal","B","FW","Gelson Martins","1995-05-11","17","0","Portugal Sporting CP"
"Age","Portugal","B","FW","Gonçalo Guedes","1996-11-29","7","1","Spain Valencia"
"Age","Portugal","B","FW","Ricardo Quaresma","1983-09-26","74","9","Turkey Beşiktaş"
"Age","Portugal","B","GK","Anthony Lopes","1990-10-01","6","0","France Lyon"
"Age","Portugal","B","GK","Beto","1982-06-01","13","0","Turkey Göztepe"
"Age","Portugal","B","GK","Rui Patrício","1988-02-15","68","0","Portugal Sporting CP"
"Age","Portugal","B","MF","Adrien Silva","1989-03-15","21","1","England Leicester City"
"Age","Portugal","B","MF","Bernardo Silva","1994-08-10","22","2","England Manchester City"
"Age","Portugal","B","MF","Bruno Fernandes","1994-09-08","4","0","Portugal Sporting CP"
"Age","Portugal","B","MF","João Mário","1993-01-19","33","1","England West Ham United"
"Age","Portugal","B","MF","João Moutinho","1986-09-08","107","7","France Monaco"
"Age","Portugal","B","MF","Manuel Fernandes","1986-02-05","12","3","Russia Lokomotiv Moscow"
"Age","Portugal","B","MF","William Carvalho","1992-04-07","40","2","Portugal Sporting CP"
"Age","Spain","B","DF","Álvaro Odriozola","1995-12-14","2","0","Spain Real Sociedad"
"Age","Spain","B","DF","César Azpilicueta","1989-08-28","21","0","England Chelsea"
"Age","Spain","B","DF","Dani Carvajal","1992-01-11","15","0","Spain Real Madrid"
"Age","Spain","B","DF","Gerard Piqué","1987-02-02","96","5","Spain Barcelona"
"Age","Spain","B","DF","Jordi Alba","1989-03-21","60","8","Spain Barcelona"
"Age","Spain","B","DF","Nacho","1990-01-18","15","0","Spain Real Madrid"
"Age","Spain","B","DF","Nacho Monreal","1986-02-26","21","1","England Arsenal"
"Age","Spain","B","DF","Sergio Ramos (captain)","1986-03-30","151","13","Spain Real Madrid"
"Age","Spain","B","FW","Diego Costa","1988-10-07","18","7","Spain Atlético Madrid"
"Age","Spain","B","FW","Iago Aspas","1987-08-01","8","4","Spain Celta Vigo"
"Age","Spain","B","FW","Lucas Vázquez","1991-07-01","5","0","Spain Real Madrid"
"Age","Spain","B","FW","Marco Asensio","1996-01-21","10","0","Spain Real Madrid"
"Age","Spain","B","FW","Rodrigo","1991-03-06","4","2","Spain Valencia"
"Age","Spain","B","GK","David de Gea","1990-11-07","27","0","England Manchester United"
"Age","Spain","B","GK","Kepa Arrizabalaga","1994-10-03","1","0","Spain Athletic Bilbao"
"Age","Spain","B","GK","Pepe Reina","1982-08-31","36","0","Italy Napoli"
"Age","Spain","B","MF","Andrés Iniesta","1984-05-11","125","14","Spain Barcelona"
"Age","Spain","B","MF","David Silva","1986-01-08","119","35","England Manchester City"
"Age","Spain","B","MF","Isco","1992-04-21","27","10","Spain Real Madrid"
"Age","Spain","B","MF","Koke","1992-01-08","38","0","Spain Atlético Madrid"
"Age","Spain","B","MF","Saúl","1994-11-21","9","0","Spain Atlético Madrid"
"Age","Spain","B","MF","Sergio Busquets","1988-07-16","102","2","Spain Barcelona"
"Age","Spain","B","MF","Thiago","1991-04-11","27","2","Germany Bayern Munich"
"Age","Australia","C","DF","Aziz Behich","1990-10-16","21","2","Turkey Bursaspor"
"Age","Australia","C","DF","James Meredith","1988-04-04","2","0","England Millwall"
"Age","Australia","C","DF","Josh Risdon","1992-07-27","6","0","Australia Western Sydney Wanderers"
"Age","Australia","C","DF","Matthew Jurman","1989-12-08","4","0","South Korea Suwon Samsung Bluewings"
"Age","Australia","C","DF","Milos Degenek","1994-04-28","17","0","Japan Yokohama F. Marinos"
"Age","Australia","C","DF","Trent Sainsbury","1992-01-05","33","3","Switzerland Grasshoppers"
"Age","Australia","C","FW","Andrew Nabbout","1992-12-17","2","0","Japan Urawa Red Diamonds"
"Age","Australia","C","FW","Jamie Maclaren","1993-07-29","6","0","Scotland Hibernian"
"Age","Australia","C","FW","Mathew Leckie","1991-02-04","51","6","Germany Hertha BSC"
"Age","Australia","C","FW","Robbie Kruse","1988-10-05","62","5","Germany VfL Bochum"
"Age","Australia","C","FW","Tim Cahill","1979-12-06","105","50","England Millwall"
"Age","Australia","C","FW","Tomi Juric","1991-07-22","34","8","Switzerland Luzern"
"Age","Australia","C","GK","Brad Jones","1982-03-19","5","0","Netherlands Feyenoord"
"Age","Australia","C","GK","Danny Vukovic","1985-03-27","1","0","Belgium Genk"
"Age","Australia","C","GK","Mathew Ryan","1992-04-08","42","0","England Brighton & Hove Albion"
"Age","Australia","C","MF","Aaron Mooy","1990-09-15","32","5","England Huddersfield Town"
"Age","Australia","C","MF","Daniel Arzani","1999-01-04","0","0","Australia Melbourne City"
"Age","Australia","C","MF","Dimitri Petratos","1992-11-10","1","0","Australia Newcastle Jets"
"Age","Australia","C","MF","Jackson Irvine","1993-03-07","17","2","England Hull City"
"Age","Australia","C","MF","Mark Milligan","1985-08-04","69","6","Saudi Arabia Al-Ahli"
"Age","Australia","C","MF","Massimo Luongo","1992-09-25","34","5","England Queens Park Rangers"
"Age","Australia","C","MF","Mile Jedinak (captain)","1984-08-03","75","18","England Aston Villa"
"Age","Australia","C","MF","Tom Rogic","1992-12-16","35","7","Scotland Celtic"
"Age","Denmark","C","DF","Andreas Christensen","1996-04-10","14","1","England Chelsea"
"Age","Denmark","C","DF","Henrik Dalsgaard","1989-07-27","9","0","England Brentford"
"Age","Denmark","C","DF","Jannik Vestergaard","1992-08-03","15","1","Germany Borussia Mönchengladbach"
"Age","Denmark","C","DF","Jens Stryger Larsen","1991-02-21","11","1","Italy Udinese"
"Age","Denmark","C","DF","Jonas Knudsen","1992-09-16","3","0","England Ipswich Town"
"Age","Denmark","C","DF","Mathias Jørgensen","1990-04-23","12","0","England Huddersfield Town"
"Age","Denmark","C","DF","Simon Kjær (captain)","1989-03-26","76","3","Spain Sevilla"
"Age","Denmark","C","FW","Andreas Cornelius","1993-03-16","18","4","Italy Atalanta"
"Age","Denmark","C","FW","Kasper Dolberg","1997-10-06","4","1","Netherlands Ajax"
"Age","Denmark","C","FW","Martin Braithwaite","1991-06-05","18","1","France Bordeaux"
"Age","Denmark","C","FW","Nicolai Jørgensen","1991-01-15","29","8","Netherlands Feyenoord"
"Age","Denmark","C","FW","Viktor Fischer","1994-06-09","17","3","Denmark Copenhagen"
"Age","Denmark","C","FW","Yussuf Poulsen","1994-06-15","26","3","Germany RB Leipzig"
"Age","Denmark","C","GK","Frederik Rønnow","1992-08-04","6","0","Denmark Brøndby"
"Age","Denmark","C","GK","Jonas Lössl","1989-02-01","1","0","England Huddersfield Town"
"Age","Denmark","C","GK","Kasper Schmeichel","1986-11-05","33","0","England Leicester City"
"Age","Denmark","C","MF","Christian Eriksen","1992-02-14","77","21","England Tottenham Hotspur"
"Age","Denmark","C","MF","Lasse Schöne","1986-05-27","34","3","Netherlands Ajax"
"Age","Denmark","C","MF","Lukas Lerager","1993-07-12","3","0","France Bordeaux"
"Age","Denmark","C","MF","Michael Krohn-Dehli","1983-06-06","57","6","Spain Deportivo La Coruña"
"Age","Denmark","C","MF","Pione Sisto","1995-02-04","12","1","Spain Celta Vigo"
"Age","Denmark","C","MF","Thomas Delaney","1991-09-03","25","4","Germany Werder Bremen"
"Age","Denmark","C","MF","William Kvist","1985-02-24","78","2","Denmark Copenhagen"
"Age","France","C","DF","Adil Rami","1985-12-27","33","1","France Marseille"
"Age","France","C","DF","Benjamin Mendy","1994-07-17","4","0","England Manchester City"
"Age","France","C","DF","Benjamin Pavard","1996-03-28","3","0","Germany VfB Stuttgart"
"Age","France","C","DF","Djibril Sidibé","1992-07-29","15","1","France Monaco"
"Age","France","C","DF","Lucas Hernández","1996-02-14","2","0","Spain Atlético Madrid"
"Age","France","C","DF","Presnel Kimpembe","1995-08-13","1","0","France Paris Saint-Germain"
"Age","France","C","DF","Raphaël Varane","1993-04-25","41","2","Spain Real Madrid"
"Age","France","C","DF","Samuel Umtiti","1993-11-14","16","1","Spain Barcelona"
"Age","France","C","FW","Antoine Griezmann","1991-03-21","51","19","Spain Atlético Madrid"
"Age","France","C","FW","Florian Thauvin","1993-01-26","3","0","France Marseille"
"Age","France","C","FW","Kylian Mbappé","1998-12-20","12","3","France Paris Saint-Germain"
"Age","France","C","FW","Nabil Fekir","1993-07-18","10","1","France Lyon"
"Age","France","C","FW","Olivier Giroud","1986-09-30","71","30","England Chelsea"
"Age","France","C","FW","Ousmane Dembélé","1997-05-15","9","1","Spain Barcelona"
"Age","France","C","GK","Alphonse Areola","1993-02-27","0","0","France Paris Saint-Germain"
"Age","France","C","GK","Hugo Lloris (captain)","1986-12-26","96","0","England Tottenham Hotspur"
