Annee;Ballon d'or;Nationalite;Club;Poste;Numero sur le terrain;Nombre de trophees durant la saison;Nombre de buts;Nombre de passes decisives;Nombre de points pour le ballon d'or;Ligue des champions
2022;Karim Benzema;France;Real Madrid;Attaquant;9;4;50;16;549;Vainqueur
2021;Lionel Messi;Argentine;Paris Saint-Germain;Attaquant;30;2;47;17;613;Huitieme de finale
2020;;;;;;;;;;
2019;Lionel Messi;Argentine;FC Barcelone;Attaquant;10;3;56;21;686;Demi-finale
2018;Luka Modric;Croatie;Real Madrid;Milieu de terrain;10;4;8;16;753;Vainqueur
2017;Cristiano Ronaldo;Portugal;Real Madrid;Attaquant;7;4;54;13;946;Vainqueur
2016;Cristiano Ronaldo;Portugal;Real Madrid;Attaquant;7;3;57;17;745;Vainqueur
2015;Lionel Messi;Argentine;FC Barcelone;Attaquant;10;4;62;30;766;Vainqueur
2014;Cristiano Ronaldo;Portugal;Real Madrid;Attaquant;7;3;62;17;801;Vainqueur
2013;Cristiano Ronaldo;Portugal;Real Madrid;Attaquant;7;2;59;14;672;Demi-finale
2012;Lionel Messi;Argentine;FC Barcelone;Attaquant;10;3;85;31;790;Demi-finale
2011;Lionel Messi;Argentine;FC Barcelone;Attaquant;10;5;57;32;607;Vainqueur
2010;Lionel Messi;Argentine;FC Barcelone;Attaquant;10;3;49;12;509;Demi-finale
2009;Lionel Messi;Argentine;FC Barcelone;Attaquant;10;4;41;18;473;Vainqueur
2008;Cristiano Ronaldo;Portugal;Manchester United;Attaquant;7;4;46;4;446;Vainqueur
2007;Kaka;Bresil;AC Milan;Milieu de terrain;22;3;23;10;444;Vainqueur
2006;Fabio Cannavaro;Italie;Real Madrid;Defenseur;5;1;4;0;173;Quart de finale
2005;Ronaldinho;Bresil;FC Barcelone;Milieu de terrain;10;3;24;17;225;Huitieme de finale
2004;Andriy Chevtchenko;Ukraine;AC Milan;Attaquant;7;2;30;4;175;Quart de finale
2003;Pavel Nedved;Tchequie;Juventus Turin;Milieu de terrain;11;2;15;14;190;Finale